序号,学校招生代码,学校名称,所属区,办别,学校类型,寄宿情况,计划区域,计划数
234,152002,上海市进才中学,浦东新区,公办,市实验性示范性高中,部分寄宿,虹口,3
235,152004,上海南汇中学,浦东新区,公办,市实验性示范性高中,部分寄宿,虹口,8
236,153001,上海市洋泾中学,浦东新区,公办,市实验性示范性高中,部分寄宿,虹口,7
237,153004,上海市高桥中学,浦东新区,公办,市实验性示范性高中,部分寄宿,虹口,4
238,153005,上海市川沙中学,浦东新区,公办,市实验性示范性高中,部分寄宿,虹口,9
239,151078,上海中学东校,浦东新区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,虹口,4
240,152005,上海市浦东复旦附中分校,浦东新区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,虹口,4
241,162000,上海市金山中学,金山区,公办,市实验性示范性高中,全部寄宿,虹口,1
242,163002,华东师范大学第三附属中学,金山区,公办,市实验性示范性高中,全部寄宿,虹口,3
243,172001,上海市松江二中,松江区,公办,市实验性示范性高中,部分寄宿,虹口,2
244,173001,上海市松江一中,松江区,公办,市实验性示范性高中,部分寄宿,虹口,4
245,174003,上海外国语大学附属外国语学校松江云间中学,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,虹口,2
246,182001,上海市青浦高级中学,青浦区,公办,市实验性示范性高中,部分寄宿,虹口,4
247,183002,上海市朱家角中学,青浦区,公办,市实验性示范性高中,部分寄宿,虹口,4
248,182002,复旦大学附属中学青浦分校,青浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,虹口,3
249,202001,上海市奉贤中学,奉贤区,公办,市实验性示范性高中,全部寄宿,虹口,2
250,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,虹口,1
251,512000,上海市崇明中学,崇明区,公办,市实验性示范性高中,全部寄宿,虹口,2
252,512001,上海市实验学校东滩高级中学,崇明区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,虹口,3
253,042032,上海市上海中学,上海市,公办,市实验性示范性高中,全部寄宿,黄浦,8
254,102056,上海交通大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,黄浦,9
255,102057,复旦大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,黄浦,10
256,152003,华东师范大学第二附属中学,上海市,公办,市实验性示范性高中,部分寄宿,黄浦,11
257,012001,上海市格致中学,黄浦区,公办,市实验性示范性高中,部分寄宿,黄浦,3
258,012003,上海市大同中学,黄浦区,公办,市实验性示范性高中,部分寄宿,黄浦,3
259,012005,上海市向明中学,黄浦区,公办,市实验性示范性高中,无寄宿,黄浦,2
260,012007,上海外国语大学附属大境中学,黄浦区,公办,市实验性示范性高中,部分寄宿,黄浦,3
261,012008,上海市光明中学,黄浦区,公办,市实验性示范性高中,无寄宿,黄浦,3
262,012009,上海市敬业中学,黄浦区,公办,市实验性示范性高中,无寄宿,黄浦,3
263,012010,上海市卢湾高级中学,黄浦区,公办,市实验性示范性高中,部分寄宿,黄浦,3
264,012002,上海市格致中学(奉贤校区),黄浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,黄浦,20
265,012006,上海市向明中学(浦江校区),黄浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,黄浦,15
266,042001,上海市第二中学,徐汇区,公办,市实验性示范性高中,无寄宿,黄浦,6
267,042008,上海市南洋模范中学,徐汇区,公办,市实验性示范性高中,部分寄宿,黄浦,8
268,042035,上海市位育中学,徐汇区,公办,市实验性示范性高中,全部寄宿,黄浦,3
269,043015,上海市南洋中学,徐汇区,公办,市实验性示范性高中,部分寄宿,黄浦,3
270,052001,上海市第三女子中学,长宁区,公办,市实验性示范性高中,部分寄宿,黄浦,3
271,052002,上海市延安中学,长宁区,公办,市实验性示范性高中,全部寄宿,黄浦,3
272,053004,上海市复旦中学,长宁区,公办,市实验性示范性高中,全部寄宿,黄浦,2
273,062001,上海市市西中学,静安区,公办,市实验性示范性高中,无寄宿,黄浦,6
274,062002,上海市育才中学,静安区,公办,市实验性示范性高中,全部寄宿,黄浦,2
275,062004,上海市市北中学,静安区,公办,市实验性示范性高中,无寄宿,黄浦,5
276,062011,上海市回民中学,静安区,公办,市实验性示范性高中,部分寄宿,黄浦,1
277,063004,上海市第六十中学,静安区,公办,市实验性示范性高中,无寄宿,黄浦,3
278,064001,上海市华东模范中学,静安区,公办,市实验性示范性高中,无寄宿,黄浦,2
279,072002,上海市曹杨第二中学,普陀区,公办,市实验性示范性高中,部分寄宿,黄浦,2
280,073003,上海市宜川中学,普陀区,公办,市实验性示范性高中,无寄宿,黄浦,3
281,073082,华东师范大学第二附属中学(普陀校区),普陀区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,黄浦,3
282,092002,华东师范大学第一附属中学,虹口区,公办,市实验性示范性高中,部分寄宿,黄浦,2
283,102004,上海市杨浦高级中学,杨浦区,公办,市实验性示范性高中,部分寄宿,黄浦,3
284,102032,上海市控江中学,杨浦区,公办,市实验性示范性高中,部分寄宿,黄浦,7
285,122001,上海市七宝中学,闵行区,公办,市实验性示范性高中,部分寄宿,黄浦,5
286,123001,上海市闵行中学,闵行区,公办,市实验性示范性高中,部分寄宿,黄浦,2
287,122002,华东师范大学第二附属中学闵行紫竹分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,黄浦,2
288,122003,上海师范大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,黄浦,5
289,132001,上海市行知中学,宝山区,公办,市实验性示范性高中,部分寄宿,黄浦,2
290,132002,上海大学附属中学,宝山区,公办,市实验性示范性高中,全部寄宿,黄浦,2
291,133001,上海市吴淞中学,宝山区,公办,市实验性示范性高中,部分寄宿,黄浦,1
292,133003,华东师范大学第二附属中学(宝山校区),宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,黄浦,3
293,142001,上海市嘉定区第一中学,嘉定区,公办,市实验性示范性高中,部分寄宿,黄浦,5
294,142002,上海交通大学附属中学嘉定分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,黄浦,4
295,152001,上海市建平中学,浦东新区,公办,市实验性示范性高中,部分寄宿,黄浦,10
296,152002,上海市进才中学,浦东新区,公办,市实验性示范性高中,部分寄宿,黄浦,7
297,152004,上海南汇中学,浦东新区,公办,市实验性示范性高中,部分寄宿,黄浦,6
298,153001,上海市洋泾中学,浦东新区,公办,市实验性示范性高中,部分寄宿,黄浦,8
299,153004,上海市高桥中学,浦东新区,公办,市实验性示范性高中,部分寄宿,黄浦,2
300,153005,上海市川沙中学,浦东新区,公办,市实验性示范性高中,部分寄宿,黄浦,8
301,152005,上海市浦东复旦附中分校,浦东新区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,黄浦,12
302,162000,上海市金山中学,金山区,公办,市实验性示范性高中,全部寄宿,黄浦,2
303,163002,华东师范大学第三附属中学,金山区,公办,市实验性示范性高中,全部寄宿,黄浦,3
304,172001,上海市松江二中,松江区,公办,市实验性示范性高中,部分寄宿,黄浦,2
305,173001,上海市松江一中,松江区,公办,市实验性示范性高中,部分寄宿,黄浦,5
306,174003,上海外国语大学附属外国语学校松江云间中学,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,黄浦,2
307,182001,上海市青浦高级中学,青浦区,公办,市实验性示范性高中,部分寄宿,黄浦,2
308,183002,上海市朱家角中学,青浦区,公办,市实验性示范性高中,部分寄宿,黄浦,3
309,182002,复旦大学附属中学青浦分校,青浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,黄浦,2
310,202001,上海市奉贤中学,奉贤区,公办,市实验性示范性高中,全部寄宿,黄浦,2
311,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,黄浦,4
312,512000,上海市崇明中学,崇明区,公办,市实验性示范性高中,全部寄宿,黄浦,2
313,042032,上海市上海中学,上海市,公办,市实验性示范性高中,全部寄宿,金山,4
314,102056,上海交通大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,金山,3
315,102057,复旦大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,金山,4
316,152003,华东师范大学第二附属中学,上海市,公办,市实验性示范性高中,部分寄宿,金山,5
317,152006,上海师范大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,金山,2
318,042001,上海市第二中学,徐汇区,公办,市实验性示范性高中,无寄宿,金山,3
319,042008,上海市南洋模范中学,徐汇区,公办,市实验性示范性高中,部分寄宿,金山,5
320,042035,上海市位育中学,徐汇区,公办,市实验性示范性高中,全部寄宿,金山,5
321,043015,上海市南洋中学,徐汇区,公办,市实验性示范性高中,部分寄宿,金山,2
322,052002,上海市延安中学,长宁区,公办,市实验性示范性高中,全部寄宿,金山,2
323,053004,上海市复旦中学,长宁区,公办,市实验性示范性高中,全部寄宿,金山,1
324,062002,上海市育才中学,静安区,公办,市实验性示范性高中,全部寄宿,金山,2
325,073003,上海市宜川中学,普陀区,公办,市实验性示范性高中,无寄宿,金山,2
326,092002,华东师范大学第一附属中学,虹口区,公办,市实验性示范性高中,部分寄宿,金山,2
327,093001,上海财经大学附属北郊高级中学,虹口区,公办,市实验性示范性高中,无寄宿,金山,1
328,102004,上海市杨浦高级中学,杨浦区,公办,市实验性示范性高中,部分寄宿,金山,2
329,122001,上海市七宝中学,闵行区,公办,市实验性示范性高中,部分寄宿,金山,6
330,123001,上海市闵行中学,闵行区,公办,市实验性示范性高中,部分寄宿,金山,5
331,122003,上海师范大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,金山,3
332,132002,上海大学附属中学,宝山区,公办,市实验性示范性高中,全部寄宿,金山,1
333,133001,上海市吴淞中学,宝山区,公办,市实验性示范性高中,部分寄宿,金山,1
334,142001,上海市嘉定区第一中学,嘉定区,公办,市实验性示范性高中,部分寄宿,金山,2
335,142002,上海交通大学附属中学嘉定分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,金山,4
336,152001,上海市建平中学,浦东新区,公办,市实验性示范性高中,部分寄宿,金山,6
337,152002,上海市进才中学,浦东新区,公办,市实验性示范性高中,部分寄宿,金山,7
338,152004,上海南汇中学,浦东新区,公办,市实验性示范性高中,部分寄宿,金山,6
339,153001,上海市洋泾中学,浦东新区,公办,市实验性示范性高中,部分寄宿,金山,4
340,153004,上海市高桥中学,浦东新区,公办,市实验性示范性高中,部分寄宿,金山,6
341,153005,上海市川沙中学,浦东新区,公办,市实验性示范性高中,部分寄宿,金山,1
342,151078,上海中学东校,浦东新区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,金山,4
343,162000,上海市金山中学,金山区,公办,市实验性示范性高中,全部寄宿,金山,8
344,163002,华东师范大学第三附属中学,金山区,公办,市实验性示范性高中,全部寄宿,金山,8
345,172001,上海市松江二中,松江区,公办,市实验性示范性高中,部分寄宿,金山,12
346,173001,上海市松江一中,松江区,公办,市实验性示范性高中,部分寄宿,金山,5
347,174003,上海外国语大学附属外国语学校松江云间中学,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,金山,6
348,182001,上海市青浦高级中学,青浦区,公办,市实验性示范性高中,部分寄宿,金山,6
349,183002,上海市朱家角中学,青浦区,公办,市实验性示范性高中,部分寄宿,金山,6
350,182002,复旦大学附属中学青浦分校,青浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,金山,2
351,202001,上海市奉贤中学,奉贤区,公办,市实验性示范性高中,全部寄宿,金山,15
352,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,金山,2
353,512000,上海市崇明中学,崇明区,公办,市实验性示范性高中,全部寄宿,金山,2
354,042032,上海市上海中学,上海市,公办,市实验性示范性高中,全部寄宿,静安,9
355,102056,上海交通大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,静安,28
356,102057,复旦大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,静安,24
357,152003,华东师范大学第二附属中学,上海市,公办,市实验性示范性高中,部分寄宿,静安,17
358,012001,上海市格致中学,黄浦区,公办,市实验性示范性高中,部分寄宿,静安,24
359,012003,上海市大同中学,黄浦区,公办,市实验性示范性高中,部分寄宿,静安,7
360,012005,上海市向明中学,黄浦区,公办,市实验性示范性高中,无寄宿,静安,6
361,012008,上海市光明中学,黄浦区,公办,市实验性示范性高中,无寄宿,静安,2
362,012009,上海市敬业中学,黄浦区,公办,市实验性示范性高中,无寄宿,静安,2
363,042001,上海市第二中学,徐汇区,公办,市实验性示范性高中,无寄宿,静安,4
364,042008,上海市南洋模范中学,徐汇区,公办,市实验性示范性高中,部分寄宿,静安,10
365,042035,上海市位育中学,徐汇区,公办,市实验性示范性高中,全部寄宿,静安,3
366,043015,上海市南洋中学,徐汇区,公办,市实验性示范性高中,部分寄宿,静安,2
367,042036,复旦大学附属中学徐汇分校,徐汇区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,静安,2
368,052001,上海市第三女子中学,长宁区,公办,市实验性示范性高中,部分寄宿,静安,5
369,052002,上海市延安中学,长宁区,公办,市实验性示范性高中,全部寄宿,静安,8
370,053004,上海市复旦中学,长宁区,公办,市实验性示范性高中,全部寄宿,静安,5
371,062001,上海市市西中学,静安区,公办,市实验性示范性高中,无寄宿,静安,7
372,062002,上海市育才中学,静安区,公办,市实验性示范性高中,全部寄宿,静安,7
373,062003,上海市新中高级中学,静安区,公办,市实验性示范性高中,部分寄宿,静安,7
374,062004,上海市市北中学,静安区,公办,市实验性示范性高中,无寄宿,静安,7
375,062011,上海市回民中学,静安区,公办,市实验性示范性高中,部分寄宿,静安,3
376,063004,上海市第六十中学,静安区,公办,市实验性示范性高中,无寄宿,静安,5
377,064001,上海市华东模范中学,静安区,公办,市实验性示范性高中,无寄宿,静安,4
378,072001,上海市晋元高级中学,普陀区,公办,市实验性示范性高中,全部寄宿,静安,5
379,072002,上海市曹杨第二中学,普陀区,公办,市实验性示范性高中,部分寄宿,静安,13
380,073003,上海市宜川中学,普陀区,公办,市实验性示范性高中,无寄宿,静安,7
381,073082,华东师范大学第二附属中学(普陀校区),普陀区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,静安,4
382,092001,复旦大学附属复兴中学,虹口区,公办,市实验性示范性高中,部分寄宿,静安,12
383,092002,华东师范大学第一附属中学,虹口区,公办,市实验性示范性高中,部分寄宿,静安,4
384,093001,上海财经大学附属北郊高级中学,虹口区,公办,市实验性示范性高中,无寄宿,静安,4
385,102004,上海市杨浦高级中学,杨浦区,公办,市实验性示范性高中,部分寄宿,静安,4
386,102032,上海市控江中学,杨浦区,公办,市实验性示范性高中,部分寄宿,静安,10
387,103002,同济大学第一附属中学,杨浦区,公办,市实验性示范性高中,部分寄宿,静安,2
388,122001,上海市七宝中学,闵行区,公办,市实验性示范性高中,部分寄宿,静安,5
389,123001,上海市闵行中学,闵行区,公办,市实验性示范性高中,部分寄宿,静安,5
390,122002,华东师范大学第二附属中学闵行紫竹分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,静安,5
391,122003,上海师范大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,静安,3
392,122004,上海交通大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,静安,6
393,132001,上海市行知中学,宝山区,公办,市实验性示范性高中,部分寄宿,静安,6
394,132002,上海大学附属中学,宝山区,公办,市实验性示范性高中,全部寄宿,静安,5
395,133001,上海市吴淞中学,宝山区,公办,市实验性示范性高中,部分寄宿,静安,5
396,132003,上海师范大学附属中学宝山分校,宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,静安,3
397,133003,华东师范大学第二附属中学(宝山校区),宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,静安,6
398,142001,上海市嘉定区第一中学,嘉定区,公办,市实验性示范性高中,部分寄宿,静安,6
399,142002,上海交通大学附属中学嘉定分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,静安,8
400,142004,上海师范大学附属中学嘉定新城分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,静安,1
401,152001,上海市建平中学,浦东新区,公办,市实验性示范性高中,部分寄宿,静安,9
402,152002,上海市进才中学,浦东新区,公办,市实验性示范性高中,部分寄宿,静安,7
403,152004,上海南汇中学,浦东新区,公办,市实验性示范性高中,部分寄宿,静安,8
404,153001,上海市洋泾中学,浦东新区,公办,市实验性示范性高中,部分寄宿,静安,9
405,153004,上海市高桥中学,浦东新区,公办,市实验性示范性高中,部分寄宿,静安,6
406,153005,上海市川沙中学,浦东新区,公办,市实验性示范性高中,部分寄宿,静安,9
407,151078,上海中学东校,浦东新区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,静安,7
408,152005,上海市浦东复旦附中分校,浦东新区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,静安,6
409,162000,上海市金山中学,金山区,公办,市实验性示范性高中,全部寄宿,静安,2
410,163002,华东师范大学第三附属中学,金山区,公办,市实验性示范性高中,全部寄宿,静安,3
411,172001,上海市松江二中,松江区,公办,市实验性示范性高中,部分寄宿,静安,2
412,173001,上海市松江一中,松江区,公办,市实验性示范性高中,部分寄宿,静安,2
413,174003,上海外国语大学附属外国语学校松江云间中学,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,静安,3
414,182001,上海市青浦高级中学,青浦区,公办,市实验性示范性高中,部分寄宿,静安,4
415,183002,上海市朱家角中学,青浦区,公办,市实验性示范性高中,部分寄宿,静安,5
416,182002,复旦大学附属中学青浦分校,青浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,静安,5
417,202001,上海市奉贤中学,奉贤区,公办,市实验性示范性高中,全部寄宿,静安,2
418,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,静安,6
419,512000,上海市崇明中学,崇明区,公办,市实验性示范性高中,全部寄宿,静安,2
420,512001,上海市实验学校东滩高级中学,崇明区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,静安,3
421,042032,上海市上海中学,上海市,公办,市实验性示范性高中,全部寄宿,闵行,55
422,102056,上海交通大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,闵行,36
423,102057,复旦大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,闵行,30
424,152003,华东师范大学第二附属中学,上海市,公办,市实验性示范性高中,部分寄宿,闵行,22
425,152006,上海师范大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,闵行,39
426,012001,上海市格致中学,黄浦区,公办,市实验性示范性高中,部分寄宿,闵行,6
427,012003,上海市大同中学,黄浦区,公办,市实验性示范性高中,部分寄宿,闵行,20
428,012007,上海外国语大学附属大境中学,黄浦区,公办,市实验性示范性高中,部分寄宿,闵行,15
429,012008,上海市光明中学,黄浦区,公办,市实验性示范性高中,无寄宿,闵行,11
430,012009,上海市敬业中学,黄浦区,公办,市实验性示范性高中,无寄宿,闵行,10
431,012010,上海市卢湾高级中学,黄浦区,公办,市实验性示范性高中,部分寄宿,闵行,20
432,012006,上海市向明中学(浦江校区),黄浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,闵行,23
433,042008,上海市南洋模范中学,徐汇区,公办,市实验性示范性高中,部分寄宿,闵行,16
434,042035,上海市位育中学,徐汇区,公办,市实验性示范性高中,全部寄宿,闵行,33
435,043015,上海市南洋中学,徐汇区,公办,市实验性示范性高中,部分寄宿,闵行,20
436,042002,上海市第二中学(梅陇校区),徐汇区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,闵行,13
437,042036,复旦大学附属中学徐汇分校,徐汇区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,闵行,10
438,052001,上海市第三女子中学,长宁区,公办,市实验性示范性高中,部分寄宿,闵行,4
439,052002,上海市延安中学,长宁区,公办,市实验性示范性高中,全部寄宿,闵行,8
440,053004,上海市复旦中学,长宁区,公办,市实验性示范性高中,全部寄宿,闵行,7
441,062001,上海市市西中学,静安区,公办,市实验性示范性高中,无寄宿,闵行,5
442,062002,上海市育才中学,静安区,公办,市实验性示范性高中,全部寄宿,闵行,5
443,062003,上海市新中高级中学,静安区,公办,市实验性示范性高中,部分寄宿,闵行,2
444,062004,上海市市北中学,静安区,公办,市实验性示范性高中,无寄宿,闵行,7
445,062011,上海市回民中学,静安区,公办,市实验性示范性高中,部分寄宿,闵行,7
446,063004,上海市第六十中学,静安区,公办,市实验性示范性高中,无寄宿,闵行,2
447,064001,上海市华东模范中学,静安区,公办,市实验性示范性高中,无寄宿,闵行,2
448,072002,上海市曹杨第二中学,普陀区,公办,市实验性示范性高中,部分寄宿,闵行,6
449,073003,上海市宜川中学,普陀区,公办,市实验性示范性高中,无寄宿,闵行,4
450,092002,华东师范大学第一附属中学,虹口区,公办,市实验性示范性高中,部分寄宿,闵行,1
451,093001,上海财经大学附属北郊高级中学,虹口区,公办,市实验性示范性高中,无寄宿,闵行,4
452,102004,上海市杨浦高级中学,杨浦区,公办,市实验性示范性高中,部分寄宿,闵行,4
453,102032,上海市控江中学,杨浦区,公办,市实验性示范性高中,部分寄宿,闵行,7
454,103002,同济大学第一附属中学,杨浦区,公办,市实验性示范性高中,部分寄宿,闵行,1
455,122001,上海市七宝中学,闵行区,公办,市实验性示范性高中,部分寄宿,闵行,12
456,123001,上海市闵行中学,闵行区,公办,市实验性示范性高中,部分寄宿,闵行,12
457,122002,华东师范大学第二附属中学闵行紫竹分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,闵行,7
458,122003,上海师范大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,闵行,9
459,122004,上海交通大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,闵行,7
460,132001,上海市行知中学,宝山区,公办,市实验性示范性高中,部分寄宿,闵行,7
461,132002,上海大学附属中学,宝山区,公办,市实验性示范性高中,全部寄宿,闵行,14
462,133001,上海市吴淞中学,宝山区,公办,市实验性示范性高中,部分寄宿,闵行,8
463,132003,上海师范大学附属中学宝山分校,宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,闵行,2
464,133003,华东师范大学第二附属中学(宝山校区),宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,闵行,5
